Training Size (%),DT Accuracy,DT Train Time,GB Accuracy,GB Train Time
10.0,0.841575,1.209659,0.900675,160.406437
20.0,0.84586,2.673385,0.90094,350.338911
30.0,0.84645,4.373888,0.901075,557.497854
40.0,0.84542,7.27951,0.90132,795.653058
50.0,0.848075,8.904632,0.90159,1021.386998
60.0,0.848235,11.517221,0.901555,1283.838984
70.0,0.848835,13.137381,0.90188,1509.881958
80.0,0.849645,15.180526,0.90161,1761.022501
90.0,0.849695,19.848283,0.901495,1986.64239
100.0,0.849235,20.131228,0.90184,2216.874342
